,Track_duration,Popularity,Danceability,Energy,Key,Loudness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Year
0,216270,0,0.617,0.872,8,-12.305,0.0158,0.112,0.408,0.504,111.458,1992
1,237120,64,0.825,0.743,2,-5.995,0.0142,2.12e-05,0.237,0.8,127.045,2009
2,312533,56,0.677,0.665,7,-5.171,0.56,1.01e-06,0.338,0.706,74.981,1999
3,233400,42,0.683,0.728,9,-8.92,0.568,5.08e-05,0.0384,0.833,75.311,2014
4,448720,0,0.319,0.627,0,-9.611,0.675,7.29e-05,0.289,0.497,85.818,1969
5,193346,79,0.671,0.71,9,-7.724,0.0393,1.12e-05,0.0387,0.834,118.745,1977
6,173799,78,0.56,0.68,6,-7.648,0.555,0.0,0.116,0.319,89.391,2018
7,240546,61,0.48,0.628,6,-7.643,0.174,3.28e-05,0.0753,0.541,143.412,1997
8,259800,74,0.357,0.653,9,-5.554,0.0828,0.0,0.0844,0.522,176.647,1981
9,208733,0,0.562,0.681,11,-4.934,0.113,0.0,0.11,0.357,148.064,2016
10,250626,68,0.852,0.874,7,-11.208,0.0168,0.45,0.133,0.666,129.029,2002
11,238733,80,0.557,0.533,10,-6.817,0.0492,0.0,0.205,0.233,143.994,2002
12,149106,31,0.26,0.659,2,-8.98,0.114,2.95e-05,0.499,0.537,184.38,2003
13,344773,0,0.652,0.372,6,-15.445,0.069,0.000197,0.0923,0.283,111.984,1978
14,235382,73,0.818,0.67,8,-4.451,0.304,1.22e-06,0.0601,0.939,119.988,2014
15,273800,58,0.605,0.731,10,-9.327,0.24,0.000459,0.257,0.638,123.332,1976
16,185266,5,0.813,0.754,4,-3.911,0.166,0.0,0.121,0.923,112.962,2016
17,122958,6,0.483,0.533,6,-9.883,0.805,0.0,0.161,0.878,140.11,2016
18,189320,15,0.736,0.563,2,-13.837,0.0165,0.0,0.166,0.96,102.021,2012
19,226760,0,0.637,0.416,2,-7.595,0.434,0.0,0.139,0.588,145.922,2011
20,211693,0,0.648,0.936,7,-5.968,0.0981,2.24e-05,0.0712,0.856,103.272,2012
21,278987,68,0.261,0.302,5,-8.19,0.769,2.57e-06,0.0863,0.0883,81.418,2015
22,232994,0,0.667,0.66,9,-8.819,0.117,0.000854,0.0707,0.905,133.867,1978
23,249369,0,0.364,0.606,5,-9.188,0.0748,0.000322,0.106,0.289,99.73,2020
24,254240,73,0.862,0.624,3,-11.63,0.0192,0.000153,0.0465,0.882,124.896,2016
25,238733,47,0.393,0.958,2,-2.102,0.00966,0.0,0.214,0.323,150.074,2008
26,203933,24,0.789,0.84,11,-4.059,0.00616,0.0,0.0646,0.821,103.957,2009
27,235946,0,0.677,0.604,7,-5.32,0.0612,0.0,0.353,0.297,134.052,2016
28,168000,33,0.609,0.895,11,-8.208,0.162,0.504,0.522,0.792,123.102,2010
29,145480,9,0.587,0.65,1,-5.732,0.381,1.01e-06,0.105,0.96,98.137,2015
30,213360,44,0.66,0.88,11,-5.338,0.0808,3.48e-06,0.15,0.862,103.395,2002
31,149786,50,0.307,0.95,11,-3.427,0.00054,7.43e-05,0.313,0.524,127.895,1972
32,246520,74,0.64,0.852,1,-8.119,0.0243,1.82e-06,0.0497,0.793,122.902,1987
33,231200,0,0.607,0.905,4,-4.748,0.00122,0.000261,0.0624,0.533,141.985,1987
34,223240,0,0.466,0.403,5,-6.142,0.395,0.0,0.111,0.337,119.81,2013
35,208840,35,0.455,0.296,2,-8.513,0.761,0.0,0.0783,0.31,171.744,2016
36,217346,67,0.596,0.738,8,-3.109,0.109,0.0,0.0947,0.461,127.961,2014
37,329733,63,0.592,0.767,9,-2.788,0.0021,0.00165,0.127,0.328,96.483,1999
38,122066,82,0.692,0.497,2,-7.316,0.676,0.0,0.259,0.475,81.308,1977
39,297800,47,0.488,0.364,7,-15.954,0.0714,0.0,0.0756,0.544,79.707,1987
40,235133,74,0.659,0.812,4,-7.499,0.23,0.0,0.0951,0.888,83.014,2000
41,159184,28,0.706,0.695,2,-10.526,0.226,0.0,0.0496,0.972,181.337,1983
42,273493,30,0.672,0.393,9,-8.739,0.551,1.05e-05,0.105,0.319,130.086,2015
43,230600,64,0.68,0.543,5,-14.876,0.857,0.000116,0.0881,0.796,111.62,1990
44,150106,0,0.553,0.594,7,-9.03,0.114,0.0,0.743,0.841,113.506,1966
45,256946,0,0.705,0.806,9,-3.607,0.0132,0.00428,0.0701,0.734,103.383,2006
46,232385,31,0.59,0.874,6,-2.583,0.0179,6.46e-06,0.134,0.607,125.018,2012
47,231960,0,0.734,0.927,8,-4.244,0.076,0.00134,0.0465,0.901,118.039,2009
48,244893,67,0.864,0.515,0,-6.967,0.571,7.92e-05,0.0947,0.755,129.048,2011
49,161840,0,0.534,0.327,4,-16.789,0.0503,0.00213,0.281,0.767,139.867,1967
50,162106,11,0.483,0.676,9,-10.271,0.505,6.32e-05,0.297,0.502,116.418,1967
51,177306,0,0.471,0.574,11,-11.266,0.802,2.55e-06,0.0931,0.661,131.892,2007
52,201000,87,0.681,0.372,5,-8.237,0.64,0.0,0.169,0.476,91.873,2017
53,143834,22,0.485,0.721,5,-7.84,0.479,0.0,0.67,0.88,136.892,1997
54,269613,66,0.924,0.853,2,-1.203,0.107,1.45e-06,0.129,0.67,114.003,2009
55,237053,0,0.735,0.859,6,-3.845,0.00289,3.95e-06,0.111,0.758,126.587,2002
56,144244,61,0.807,0.887,1,-3.892,0.00381,0.0,0.391,0.78,160.517,2016
57,237200,0,0.851,0.806,4,-4.618,0.12,1.33e-06,0.121,0.776,119.001,2008
58,206266,58,0.536,0.606,7,-5.364,0.103,1.08e-05,0.255,0.719,146.425,1981
59,266669,19,0.448,0.312,1,-14.926,0.84,3.8e-06,0.0848,0.403,158.27,2015
60,152706,13,0.719,0.639,8,-9.229,0.797,1.43e-05,0.075,0.727,128.272,2010
61,151106,0,0.662,0.891,6,-4.65,0.0128,0.0,0.448,0.823,123.728,2005
62,178424,27,0.748,0.551,5,-5.772,0.327,1.43e-05,0.096,0.334,104.175,2018
63,266560,65,0.683,0.751,5,-10.184,0.0681,8.36e-06,0.248,0.841,103.036,1992
64,217946,83,0.836,0.544,7,-5.975,0.0403,0.0,0.0824,0.51,97.028,2017
